Algoritmo;Archivos;Cantidad;Patrones;Tiempo_Promedio(ns);Varianza(ns)
FM-Index;Proteins;10;patrones1_100_Existente;9490000;0 
KMP;Proteins;10;patrones1_100_Existente;29789038000;0 
Robin-Karp;Proteins;10;patrones1_100_Existente;62796116000;0 
Boyer-Moore;Proteins;10;patrones1_100_Existente;5216482000;0 
FM-Index;Proteins;20;patrones1_100_Existente;8604000;0 
KMP;Proteins;20;patrones1_100_Existente;59783635000;0 
Robin-Karp;Proteins;20;patrones1_100_Existente;127232312000;0 
Boyer-Moore;Proteins;20;patrones1_100_Existente;11551729000;0 
FM-Index;Proteins;30;patrones1_100_Existente;86534000;0 
KMP;Proteins;30;patrones1_100_Existente;96784263000;0 
Robin-Karp;Proteins;30;patrones1_100_Existente;191812903000;0 
Boyer-Moore;Proteins;30;patrones1_100_Existente;18406553000;0 
FM-Index;Proteins;40;patrones1_100_Existente;422972000;0 
KMP;Proteins;40;patrones1_100_Existente;115938261000;0 
Robin-Karp;Proteins;40;patrones1_100_Existente;243356331000;0 
Boyer-Moore;Proteins;40;patrones1_100_Existente;24008073000;0 
FM-Index;Proteins;10;patrones1_100_Existente;4063000;0 
KMP;Proteins;10;patrones1_100_Existente;27274945000;0 
Robin-Karp;Proteins;10;patrones1_100_Existente;61731931000;0 
Boyer-Moore;Proteins;10;patrones1_100_Existente;5268090000;0 
FM-Index;Proteins;20;patrones1_100_Existente;8776000;0 
KMP;Proteins;20;patrones1_100_Existente;59161596000;0 
Robin-Karp;Proteins;20;patrones1_100_Existente;123029664000;0 
Boyer-Moore;Proteins;20;patrones1_100_Existente;13156569000;0 
FM-Index;Proteins;30;patrones1_100_Existente;1434577000;0 
KMP;Proteins;30;patrones1_100_Existente;85096258000;0 
Robin-Karp;Proteins;30;patrones1_100_Existente;191353836000;0 
Boyer-Moore;Proteins;30;patrones1_100_Existente;19146733000;0 
FM-Index;Proteins;40;patrones1_100_Existente;152523000;0 
KMP;Proteins;40;patrones1_100_Existente;122940312000;0 
Robin-Karp;Proteins;40;patrones1_100_Existente;256812057000;0 
Boyer-Moore;Proteins;40;patrones1_100_Existente;25642331000;0 
FM-Index;Proteins;10;patrones1_100_Existente;5354000;0 
KMP;Proteins;10;patrones1_100_Existente;31736941000;0 
Robin-Karp;Proteins;10;patrones1_100_Existente;63574729000;0 
Boyer-Moore;Proteins;10;patrones1_100_Existente;5120665000;0 
FM-Index;Proteins;20;patrones1_100_Existente;41500000;0 
KMP;Proteins;20;patrones1_100_Existente;60024323000;0 
Robin-Karp;Proteins;20;patrones1_100_Existente;127590669000;0 
Boyer-Moore;Proteins;20;patrones1_100_Existente;12037147000;0 
FM-Index;Proteins;30;patrones1_100_Existente;117230000;0 
KMP;Proteins;30;patrones1_100_Existente;91924794000;0 
Robin-Karp;Proteins;30;patrones1_100_Existente;194169721000;0 
Boyer-Moore;Proteins;30;patrones1_100_Existente;18593710000;0 
FM-Index;Proteins;40;patrones1_100_Existente;191261000;0 
KMP;Proteins;40;patrones1_100_Existente;118308347000;0 
Robin-Karp;Proteins;40;patrones1_100_Existente;257415677000;0 
Boyer-Moore;Proteins;40;patrones1_100_Existente;25221996000;0 
FM-Index;Proteins;10;patrones1_100_Existente;9109000;0 
KMP;Proteins;10;patrones1_100_Existente;29394907000;0 
Robin-Karp;Proteins;10;patrones1_100_Existente;63555230000;0 
Boyer-Moore;Proteins;10;patrones1_100_Existente;5357677000;0 
FM-Index;Proteins;20;patrones1_100_Existente;8880000;0 
KMP;Proteins;20;patrones1_100_Existente;58369967000;0 
Robin-Karp;Proteins;20;patrones1_100_Existente;125755830000;0 
Boyer-Moore;Proteins;20;patrones1_100_Existente;12150997000;0 
FM-Index;Proteins;30;patrones1_100_Existente;143546000;0 
KMP;Proteins;30;patrones1_100_Existente;88039203000;0 
Robin-Karp;Proteins;30;patrones1_100_Existente;213241888000;0 
Boyer-Moore;Proteins;30;patrones1_100_Existente;19159809000;0 
FM-Index;Proteins;40;patrones1_100_Existente;230866000;0 
KMP;Proteins;40;patrones1_100_Existente;129519484000;0 
Robin-Karp;Proteins;40;patrones1_100_Existente;267557419000;0 
Boyer-Moore;Proteins;40;patrones1_100_Existente;26952455000;0 
FM-Index;Proteins;10;patrones1_100_Existente;4434000;0 
KMP;Proteins;10;patrones1_100_Existente;32743599000;0 
Robin-Karp;Proteins;10;patrones1_100_Existente;65402221000;0 
Boyer-Moore;Proteins;10;patrones1_100_Existente;6268740000;0 
FM-Index;Proteins;20;patrones1_100_Existente;92464000;0 
KMP;Proteins;20;patrones1_100_Existente;66133358000;0 
Robin-Karp;Proteins;20;patrones1_100_Existente;148648598000;0 
Boyer-Moore;Proteins;20;patrones1_100_Existente;14492861000;0 
FM-Index;Proteins;30;patrones1_100_Existente;94949000;0 
KMP;Proteins;30;patrones1_100_Existente;100990155000;0 
Robin-Karp;Proteins;30;patrones1_100_Existente;193860504000;0 
Boyer-Moore;Proteins;30;patrones1_100_Existente;18672291000;0 
FM-Index;Proteins;40;patrones1_100_Existente;470519000;0 
KMP;Proteins;40;patrones1_100_Existente;122016974000;0 
Robin-Karp;Proteins;40;patrones1_100_Existente;287397530000;0 
Boyer-Moore;Proteins;40;patrones1_100_Existente;25856536000;0 
FM-Index;Proteins;10;patrones1_100_Existente;9868000;0 
KMP;Proteins;10;patrones1_100_Existente;33020003000;0 
Robin-Karp;Proteins;10;patrones1_100_Existente;65335851000;0 
Boyer-Moore;Proteins;10;patrones1_100_Existente;5315653000;0 
FM-Index;Proteins;20;patrones1_100_Existente;12066000;0 
KMP;Proteins;20;patrones1_100_Existente;60830085000;0 
Robin-Karp;Proteins;20;patrones1_100_Existente;128338452000;0 
Boyer-Moore;Proteins;20;patrones1_100_Existente;14395790000;0 
FM-Index;Proteins;30;patrones1_100_Existente;183562000;0 
KMP;Proteins;30;patrones1_100_Existente;96653498000;0 
Robin-Karp;Proteins;30;patrones1_100_Existente;197392387000;0 
Boyer-Moore;Proteins;30;patrones1_100_Existente;18915974000;0 
FM-Index;Proteins;40;patrones1_100_Existente;486437000;0 
KMP;Proteins;40;patrones1_100_Existente;149095418000;0 
Robin-Karp;Proteins;40;patrones1_100_Existente;567982639000;0 
Boyer-Moore;Proteins;40;patrones1_100_Existente;60197795000;0 
FM-Index;Proteins;10;patrones1_100_Existente;18847000;0 
KMP;Proteins;10;patrones1_100_Existente;73128597000;0 
Robin-Karp;Proteins;10;patrones1_100_Existente;149366977000;0 
Boyer-Moore;Proteins;10;patrones1_100_Existente;11014048000;0 
FM-Index;Proteins;20;patrones1_100_Existente;50661000;0 
KMP;Proteins;20;patrones1_100_Existente;150020790000;0 
Robin-Karp;Proteins;20;patrones1_100_Existente;2905820150000;0 
Boyer-Moore;Proteins;20;patrones1_100_Existente;30046018000;0 
FM-Index;Proteins;30;patrones1_100_Existente;312448000;0 
KMP;Proteins;30;patrones1_100_Existente;243662757000;0 
Robin-Karp;Proteins;30;patrones1_100_Existente;506310100000;0 
Boyer-Moore;Proteins;30;patrones1_100_Existente;48343246000;0 
FM-Index;Proteins;40;patrones1_100_Existente;418113000;0 
KMP;Proteins;40;patrones1_100_Existente;323788202000;0 
Robin-Karp;Proteins;40;patrones1_100_Existente;681554167000;0 
Boyer-Moore;Proteins;40;patrones1_100_Existente;67081753000;0 
FM-Index;Proteins;10;patrones1_100_Existente;5581000;0 
KMP;Proteins;10;patrones1_100_Existente;75005340000;0 
Robin-Karp;Proteins;10;patrones1_100_Existente;164099956000;0 
Boyer-Moore;Proteins;10;patrones1_100_Existente;11983050000;0 
FM-Index;Proteins;20;patrones1_100_Existente;81447000;0 
KMP;Proteins;20;patrones1_100_Existente;154088029000;0 
Robin-Karp;Proteins;20;patrones1_100_Existente;336785578000;0 
Boyer-Moore;Proteins;20;patrones1_100_Existente;31008127000;0 
FM-Index;Proteins;30;patrones1_100_Existente;133109000;0 
KMP;Proteins;30;patrones1_100_Existente;242588327000;0 
