Algoritmo;Archivos;Cantidad;Patrones;Tiempo_Promedio(ns);Varianza(ns)
FM-Index;Proteins;20;patrones1_100_Existente;974450;51266347500 
KMP;Proteins;20;patrones1_100_Existente;2688928300;40723417809409984 
Robin-Karp;Proteins;20;patrones1_100_Existente;5894391000;99248966146699984 
Boyer-Moore;Proteins;20;patrones1_100_Existente;558383300;5949185077610000 
FM-Index;Proteins;20;patrones2_200_Existente;4949050;3634388547500 
KMP;Proteins;20;patrones2_200_Existente;5606089950;44799281142647512 
Robin-Karp;Proteins;20;patrones2_200_Existente;11798945050;56263516400047504 
Boyer-Moore;Proteins;20;patrones2_200_Existente;1106697550;12282172625747496 
FM-Index;Proteins;20;patrones3_300_Existente;7496800;7729265960000 
KMP;Proteins;20;patrones3_300_Existente;8205028950;74033683643447520 
Robin-Karp;Proteins;20;patrones3_300_Existente;17805765900;134979716235890016 
Boyer-Moore;Proteins;20;patrones3_300_Existente;1934995100;23680244645789984 
FM-Index;Proteins;20;patrones4_1000_Existente;27894100;22698495790000 
KMP;Proteins;20;patrones4_1000_Existente;27880168650;243775295714327488 
Robin-Karp;Proteins;20;patrones4_1000_Existente;59274581350;572269162335427392 
Boyer-Moore;Proteins;20;patrones4_1000_Existente;6085411350;60362127634227504 
