Algoritmo;Archivos;Cantidad;Tiempo_Promedio(ns)
FM-Index;archivos_de_prueba\Proteins;10;27390944000
FM-Index;archivos_de_prueba\Proteins;20;58598224000
FM-Index;archivos_de_prueba\Proteins;30;97882323000
FM-Index;archivos_de_prueba\Proteins;40;142590776000
FM-Index;archivos_de_prueba\Proteins;10;27174247000
FM-Index;archivos_de_prueba\Proteins;20;58528999000
FM-Index;archivos_de_prueba\Proteins;30;98279059000
FM-Index;archivos_de_prueba\Proteins;40;144807048000
FM-Index;archivos_de_prueba\Proteins;10;30119766000
FM-Index;archivos_de_prueba\Proteins;20;61774780000
FM-Index;archivos_de_prueba\Proteins;30;102040798000
FM-Index;archivos_de_prueba\Proteins;40;141860541000
FM-Index;archivos_de_prueba\Proteins;10;29583874000
FM-Index;archivos_de_prueba\Proteins;20;58905977000
FM-Index;archivos_de_prueba\Proteins;30;97158932000
FM-Index;archivos_de_prueba\Proteins;40;159302224000
FM-Index;archivos_de_prueba\Proteins;10;28121998000
FM-Index;archivos_de_prueba\Proteins;20;98739324000
FM-Index;archivos_de_prueba\Proteins;30;121704748000
FM-Index;archivos_de_prueba\Proteins;40;145360052000
FM-Index;archivos_de_prueba\Proteins;10;31007767000
FM-Index;archivos_de_prueba\Proteins;20;60629602000
FM-Index;archivos_de_prueba\Proteins;30;114295523000
FM-Index;archivos_de_prueba\Proteins;40;159846104000
FM-Index;archivos_de_prueba\Proteins;10;63409821000
FM-Index;archivos_de_prueba\Proteins;20;138475297000
FM-Index;archivos_de_prueba\Proteins;30;226886150000
FM-Index;archivos_de_prueba\Proteins;40;307342384000
FM-Index;archivos_de_prueba\Proteins;10;63836665000
FM-Index;archivos_de_prueba\Proteins;20;139900327000
FM-Index;archivos_de_prueba\Proteins;30;227919270000
FM-Index;archivos_de_prueba\Proteins;40;310424391000
FM-Index;archivos_de_prueba\Proteins;10;64479073000
FM-Index;archivos_de_prueba\Proteins;20;145759919000
FM-Index;archivos_de_prueba\Proteins;30;101439409000
FM-Index;archivos_de_prueba\Proteins;40;144213137000
FM-Index;archivos_de_prueba\Proteins;10;28936160000
FM-Index;archivos_de_prueba\Proteins;20;65986430000
FM-Index;archivos_de_prueba\Proteins;30;226110953000
FM-Index;archivos_de_prueba\Proteins;40;309819134000
FM-Index;archivos_de_prueba\Proteins;10;28050079000
FM-Index;archivos_de_prueba\Proteins;20;63439419000
FM-Index;archivos_de_prueba\Proteins;30;105219844000
FM-Index;archivos_de_prueba\Proteins;40;147942948000
FM-Index;archivos_de_prueba\Proteins;10;28516607000
FM-Index;archivos_de_prueba\Proteins;20;59058548000
FM-Index;archivos_de_prueba\Proteins;30;99894419000
FM-Index;archivos_de_prueba\Proteins;40;137319575000
FM-Index;archivos_de_prueba\Proteins;10;29471187000
FM-Index;archivos_de_prueba\Proteins;20;55677208000
FM-Index;archivos_de_prueba\Proteins;30;93820326000
FM-Index;archivos_de_prueba\Proteins;40;135476617000
FM-Index;archivos_de_prueba\Proteins;10;27186254000
FM-Index;archivos_de_prueba\Proteins;20;54556006000
FM-Index;archivos_de_prueba\Proteins;30;91048710000
FM-Index;archivos_de_prueba\Proteins;40;137683067000
FM-Index;archivos_de_prueba\Proteins;10;26157272000
FM-Index;archivos_de_prueba\Proteins;20;54410179000
FM-Index;archivos_de_prueba\Proteins;30;95293558000
FM-Index;archivos_de_prueba\Proteins;40;133288874000
FM-Index;archivos_de_prueba\Proteins;10;25255915000
FM-Index;archivos_de_prueba\Proteins;20;56108351000
FM-Index;archivos_de_prueba\Proteins;30;98149888000
FM-Index;archivos_de_prueba\Proteins;40;143208171000
FM-Index;archivos_de_prueba\Proteins;10;27132116000
FM-Index;archivos_de_prueba\Proteins;20;55984981000
FM-Index;archivos_de_prueba\Proteins;30;97073719000
FM-Index;archivos_de_prueba\Proteins;40;140496423000
FM-Index;archivos_de_prueba\Proteins;10;26257923000
FM-Index;archivos_de_prueba\Proteins;20;55613685000
FM-Index;archivos_de_prueba\Proteins;30;92750451000
FM-Index;archivos_de_prueba\Proteins;40;128049085000
FM-Index;archivos_de_prueba\Proteins;10;25689071000
FM-Index;archivos_de_prueba\Proteins;20;55225390000
FM-Index;archivos_de_prueba\Proteins;30;97603242000
FM-Index;archivos_de_prueba\Proteins;40;138500530000
FM-Index;archivos_de_prueba\Proteins;10;26256567000
FM-Index;archivos_de_prueba\Proteins;20;56878119000
FM-Index;archivos_de_prueba\Proteins;30;89663130000
FM-Index;archivos_de_prueba\Proteins;40;132058153000
Algoritmo;Archivos;Cantidad;Tiempo_Promedio(ns)
FM-Index;.\archivos_de_prueba\Proteins;1;1495929000
FM-Index;.\archivos_de_prueba\Proteins;1;1548525000
FM-Index;.\archivos_de_prueba\Proteins;1;1505110000
FM-Index;.\archivos_de_prueba\Proteins;1;1481039000
Suffix-Tree;.\archivos_de_prueba\Proteins\;1;6180200000
Suffix-Tree;.\archivos_de_prueba\Proteins\;1;6177823000
Suffix-Tree;.\archivos_de_prueba\Proteins\;2;13494961000
Suffix-Tree;.\archivos_de_prueba\Proteins\;2;14548073000
Suffix-Tree;.\archivos_de_prueba\Proteins\;3;32021886000
Suffix-Tree;.\archivos_de_prueba\Proteins\;2;17825955000
